id,producto_id,anio,clave,precio_unitario
1,117,2025,AC04,291.84
2,137,2025,AC109,671.12
3,138,2025,AC108,421.43
4,140,2025,AC26,171.74
5,141,2025,AC27,43.19
6,144,2025,AC37,218.09
7,146,2025,AC39,132.75
8,153,2025,AC41,6.32
9,143,2025,AC42,7.37
10,147,2025,AC49,106.40
11,150,2025,AC53,703.79
12,132,2025,AC65,2209.33
13,100,2025,AC68,992.44
14,101,2025,AC72,992.44
15,142,2025,AC74,168.56
16,158,2025,AC76,7649.96
17,98,2025,AC92,90.74
18,69,2025,BC04,1195.18
19,71,2025,BC14,1100.68
20,72,2025,BC23,1214.49
21,74,2025,BC34,1214.49
22,75,2025,BC41,1214.49
23,78,2025,BD05,1063.88
24,79,2025,BD08,865.98
25,81,2025,BD21,1019.69
26,84,2025,BD44,1011.08
27,108,2025,BI01,329.81
28,109,2025,BI03,329.81
29,52,2025,BL02,812.87
30,29,2025,BV16,676.75
31,30,2025,BV31,697.99
32,31,2025,BV50,696.06
33,32,2025,BV61,694.06
34,33,2025,BV70,706.05
35,49,2025,CHALD21,799.83
36,36,2025,CHC05,919.07
37,37,2025,CHC10,958.65
38,38,2025,CHC20,959.83
39,39,2025,CHC25,915.31
40,40,2025,CHD04,944.38
41,41,2025,CHD07,944.38
42,42,2025,CHD14,966.89
43,43,2025,CHD19,918.10
44,87,2025,CP06,2275.47
45,21,2025,CV10,693.16
46,22,2025,CV20,693.15
47,23,2025,CV30,693.16
48,24,2025,CV40,693.16
49,85,2025,FV04,462.42
50,88,2025,JPC03,1004.99
51,89,2025,JPC06,1004.99
52,90,2025,JPD03,1050.37
53,91,2025,JPD06,1050.37
54,11,2025,PGC06,560.90
55,12,2025,PGC17,552.47
56,13,2025,PGC22,582.15
57,14,2025,PGC29,563.46
58,17,2025,PGD04,569.59
59,18,2025,PGD08,582.15
60,19,2025,PGD13,578.44
61,96,2025,PLD10,281.90
62,1,2025,PMC06,598.55
63,2,2025,PMC11,607.61
64,3,2025,PMC14,613.76
65,4,2025,PMC20,598.55
66,5,2025,PMC26,598.55
67,7,2025,PMD04,567.83
68,8,2025,PMD12,563.98
69,9,2025,PMD24,559.94
70,16,2025,PVC02,380.37
71,20,2025,PVD02,625.59
72,53,2025,ZC09,946.76
73,55,2025,ZC22,955.76
74,56,2025,ZC29,948.74
75,57,2025,ZC34,948.29
76,58,2025,ZC45,928.72
77,59,2025,ZC53,944.03
78,60,2025,ZD07,825.98
79,64,2025,ZD42,860.97
80,119,2025,AC05,642.68
81,123,2025,AC10,521.51
82,145,2025,AC38,149.61
83,156,2025,AC51,276.04
84,151,2025,AC57,463.57
85,76,2025,BC44,1195.18
86,80,2025,BD12,945.14
87,83,2025,BD36,902.50
88,35,2025,BM02,331.14
89,28,2025,BV06,715.37
90,86,2025,CF03,2275.47
91,44,2025,CHALC05,795.50
92,45,2025,CHALC09,795.50
93,46,2025,CHALC15,836.05
94,47,2025,CHALD06,818.66
95,48,2025,CHALD15,821.01
96,27,2025,CM02,449.88
97,25,2025,CV51,693.16
98,95,2025,PLC11,294.45
99,6,2025,PMC34,566.70
100,10,2025,PMD33,563.18
101,67,2025,TD08,850.99
102,54,2025,ZC17,951.26
103,65,2025,ZD53,866.71
104,102,2025,AC02,824.85
105,124,2025,AC11,682.71
106,136,2025,AC132,213.43
107,118,2025,AC14,320.28
108,135,2025,AC28,254.96
109,112,2025,AC32,88.50
110,125,2025,AC36,652.15
111,116,2025,AC52,926.08
112,97,2025,AC84,89.78
113,107,2025,BAE07,342.42
114,70,2025,BC09,1133.39
115,73,2025,BC29,1106.71
116,82,2025,BD29,918.48
117,105,2025,BMC01,472.00
118,106,2025,BMD03,472.00
119,34,2025,BV79,697.99
120,50,2025,CHALR02,528.08
121,93,2025,FL04,327.07
122,94,2025,FL08,326.31
123,110,2025,OV01,524.68
124,66,2025,TC10,894.47
125,61,2025,ZD13,823.50
126,62,2025,ZD22,823.50
127,115,2025,AC03,926.08
128,121,2025,AC08,63.21
129,130,2025,AC21,104.31
130,152,2025,AC60,580.51
131,104,2025,AC64,831.22
132,111,2025,AC79,456.65
133,26,2025,CG02,365.86
134,63,2025,ZD25,823.50
135,120,2025,AC07,176.99
136,148,2025,AC17,54.78
137,113,2025,AC24,273.93
138,77,2025,BC46,1214.49
139,122,2025,AC06,239.15
140,155,2025,AC112,132.75
141,126,2025,AC12,652.15
142,127,2025,AC13,608.96
143,149,2025,AC59,40.04
144,103,2025,AC63,437.33
145,92,2025,SH02,454.24
146,51,2025,SW03,481.45
147,131,2025,AC58,452.61
148,128,2025,AC18,32.67
149,129,2025,AC19,269.66
150,134,2025,AC22,302.37
151,139,2025,AC34,1367.53
152,133,2025,AC75,1078.85
153,15,2025,PGG01,370.72
154,154,2025,AC114,90.60
155,68,2025,AC15,174.74
156,114,2025,AC43,464.62
157,157,2025,AC55,179.10
158,99,2025,AC62,853.42
